Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Terrace By House Of Commons,4.5,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages",1000.0,https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info,6.4 km,15% OFF
Prime Golf - Brewing & Golfing,4.3,"Modern Indian, Beverages, Momos",1000.0,https://www.zomato.com/bangalore/prime-golf-brewing-golfing-whitefield-bangalore/info,19.1 km,20% OFF
District 6 Pub Brewery & Kitchen,4.5,"North Indian, Pizza, Italian, Bar Food, Continental, Asian, Desserts",1250.0,https://www.zomato.com/bangalore/district-6-pub-brewery-kitchen-malleshwaram-bangalore/info,6.2 km,-
Karavalli - The Gateway Hotel,4.3,"Mangalorean, Konkan, Seafood, Kerala",2000.0,https://www.zomato.com/bangalore/karavalli-the-gateway-hotel-residency-road/info,1.6 km,-
Ganbeii,4.5,"Kerala, Continental, Asian, Pizza, Pasta, Burger, North Indian",500.0,https://www.zomato.com/bangalore/ganbeii-koramangala-5th-block-bangalore/info,4.8 km,-
The Palms Brew & Kitchen,New,"Modern Indian, Italian, Continental, North Indian, Asian",800.0,https://www.zomato.com/bangalore/the-palms-brew-kitchen-jp-nagar-bangalore/info,8.4 km,-
21st Amendment Gastrobar,4.3,"North Indian, Fast Food, Chinese, Bar Food, Sichuan, Beverages",850.0,https://www.zomato.com/bangalore/21st-amendment-gastrobar-indiranagar-bangalore/info,5.1 km,10% OFF
Backstreet Brewery,4.4,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/backstreet-brewery-sarjapur-road-bangalore/info,12.3 km,15% OFF
Jugni Kitchen & Bar,4.4,"North Indian, Modern Indian, Bar Food, Seafood, South Indian, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/jugni-kitchen-bar-koramangala-5th-block-bangalore/info,4.9 km,-
Toit,4.9,"Italian, American, European, Continental, Desserts",1250.0,https://www.zomato.com/bangalore/toit-indiranagar/info,5.1 km,-
Three Dots & A Dash,4.3,"North Indian, Continental, Italian",900.0,https://www.zomato.com/bangalore/three-dots-a-dash-jp-nagar/info,6.8 km,10% OFF
The Soda Factory,4.3,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",550.0,https://www.zomato.com/bangalore/the-soda-factory-nagarbhavi-bangalore/info,11.7 km,10% OFF
Ambedo Kitchen|Taproom,4.5,"Continental, Asian, North Indian, Italian, Pizza, Sushi",750.0,https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info,6.8 km,10% OFF
Stories Brewery & Kitchen,4.5,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",800.0,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info,7.5 km,10% OFF
Ministry of Food - Hilton Bangalore Embassy GolfLinks,3.9,"Asian, Continental, Italian, North Indian, Mughlai, Desserts, Beverages",1750.0,https://www.zomato.com/bangalore/ministry-of-food-hilton-bangalore-embassy-golflinks-domlur-bangalore/info,6.1 km,25% OFF
Big Pitcher,4.4,"North Indian, Continental, Mughlai, Chinese, Italian, Biryani, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info,12.3 km,-
By Chance,4.2,"Italian, Continental",750.0,https://www.zomato.com/bangalore/by-chance-1-brigade-road-bangalore/info,1.4 km,10% OFF
Pizza 4P's,4.2,"Pizza, Pasta",500.0,https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info,4.5 km,-
